Name,Job Title,Company,Software Usage,Overall Rating,Ease of Use,Customer Service,Features,Value for Money,Likelihood to Recommend,Source,Date,Overall,Pro,Cons
Becki C.,Bookkeeper,"Real Estate, 1-10 employees",Less than 6 months,4,5,,4,,9,Capterra,11/12/2019,,"This software is really easy to get into on a surface level, and if you need deeper tools (reports, analytics, etc) it also has those. Even if you're just keeping track of cash flow, it has valuable tools to make things simpler. ","Sometimes, when connecting external accounts, it takes a while to update balances, or if you're trying to record transfers between external accounts it adds the transaction twice. "
Brandon K.,,", Unspecified",1-2 years,4,5,,4,5,9,GetApp,17/01/2018,,"Free Version allows a lot of leeway before having to make a version. Like Salesforce, Quickbooks allows for easy coordination and compilation of business related itinerary.","Nothing to be frank, sometimes there is slow down on computers with less ram. Never had a problem with memory or lapsed, or deleted files."
Bandi S.,Relationship manager ,"Accounting, 1-10 employees",Less than 6 months,5,5,5,5,5,10,Capterra,10/10/2022,After quick book it made my life easy at work it has major influence on my work and on my clients it helps to organize my tax account statement generating invoice it is a user friendly software ,"It has major influence on my work in a position way 
Easy to create financial statements
Helps my in my tax statement
Easy to organise  my clients data
","The price is to high
Many tools and hard to understand
need an upgrade "
Elroy E.,Internal Auditor,"Higher Education, 1001-5000 employees",1-2 years,4,5,5,4,4,9,Capterra,20/02/2022,"Its a quick integration and easy to use fix for any business. However, muchh research is needed as some features may not be needed for most small businesses. ","It has all the features needed to run a small enterprise as well as the option to make.it adaptive to your business. If the business is large, then it would be perfect since the number of users is a lot greater that the other versions. The free training for users is a big plus that comes with the software. ",You won't get the some of the features that are available on the enterprise model. Its a bit costly when compared to others. 
Joseph Z.,Programs Manager,"Non-Profit Organization Management, 1-10 employees",I used a free trial,4,4,,4,4,8,SoftwareAdvice,16/06/2020,"QuickBooks has helped us in donation tracking, donor management and organizing events",Having used QuickBooks pro to some extent at my previous job. now in the Non-profit sector it was easy to migrate and the Non-profit version is still the best accounting software I have used so far.,some non profits do not have solid budgets I think the trial periods should be extended a bit to accommodate such organisations
Susan M.,Business Director,"Non-Profit Organization Management, 11-50 employees",Less than 6 months,5,5,,5,,8,Capterra,11/12/2019,Very positive experience thanks to intuitive user flow,"Quickbooks Online is very easy to use, but new features like being able to create multiple invoices increases efficiency, improving the overall experience. ","Eager for more efficiency tools and no further changes to left-hand nav. It's my go-to menu, so changes there, particularly at the top, slow down my orientation time which is frustrating"
Angela W.,,"Health, Wellness and Fitness, Self-employed",2+ years,5,5,,5,,10,GetApp,09/01/2019,,I have been using this software for my businesses for over 15 years. I do all of my monthly bookkeeping myself and it's very easy to use. I would recommend it to any small business owner.,"I don't have any major cons except that my accountant often has trouble opening my files. I choose ""save for accountant"" and he has access to all versions of the software but there are often glitches when we share files. Other than that, we haven't had many issues with it."
Amanda T.,,", Unspecified",1-2 years,2,2,2,2,2,2,GetApp,10/07/2018,,I struggle to find anything good to say about this product so I won't say anything except that it is advertised porrly to clients who suddenly think they are bookkeepers,I have been in bookkeeping for may years and I have never liked this product. I find it difficult to navigate and find basic reports and information.
Jennifer R.,Vice President,"Non-Profit Organization Management, 51-200 employees",1-2 years,4,3,2,,3,,GetApp,02/12/2015,"If you're looking for a program that can  handle your business' accounting needs, QuickBooks is a pretty good solution to help you there. From being able to send a copy of your books to your accountant and a way to forecast your business into the next quarter or year (for those that know how to make the software work), it is a great tool",Ease of use once you know what you're doing,Learning curve to get up and running
Ferhat Suat E.,Founder,"Computer Software, 1-10 employees",Less than 6 months,5,5,,5,,9,Capterra,08/03/2023,,Everything is in auto-mode. Saves hours of time :),"Customer support could be better. Time delay is not very good, but it is good enough"
Friedman H.,musician,"Entertainment, Self-employed",Less than 6 months,5,4,5,5,5,10,Capterra,05/11/2022,"I love using it especially for management of a new business, it pinpoints important things to focus on. It helps with the growth of business.",Well the fact that it can save thing and yet keeps on focused on important things. I love the way everything is categorized.,"Well on a personal computer is sometimes load a bit longer , i think maybe it chooses operating systems"
Hannah W.,Administrative Assistant,"Hospitality, 11-50 employees",2+ years,5,4,5,5,5,10,Capterra,10/05/2022,As the system auto-calculates any entries the chances of making errors are highly reduced. tracking of payables and receivables is ow convenient,The fact that I can get my information without having to peruse hundreds of pages. Sharing is eased and the GM can find reports needed even in my absence,Sabotage by authorised users who can easily delete entries either deliberately or erroneously  which is a setback. 
Samuel C.,Accounting Analyst,"Financial Services, 51-200 employees",Less than 6 months,5,5,4,5,,9,Capterra,11/12/2019,I use QuickBooks Online Advanced every single day and it is my favorite software I work with. It makes my life easier every single day.,"I love how smoothly everything looks and feels. If I want to do something with the software I have not before, I can usually find out how in just a few clicks.","Sometimes I would appreciate a few more custom fields on my bills, but that is asking for a lot."
Danille S.,Marketing Director,"Recreational Facilities and Services, 1-10 employees",Less than 6 months,5,5,5,5,5,10,Capterra,11/12/2019,,"Ease of use, reporting. We use quickbooks every day for estimating, invoicing and for payroll. We are able to manage and track many projects and don't need a lot of other software because of Quickbooks.",I'm not an accountant so sometimes complex tasks are difficult for me to complete
Amy B.,Homeless advocate,"Non-Profit Organization Management, 11-50 employees",1-2 years,3,5,4,3,1,8,Capterra,27/11/2019,Very easy to input information. Very easy to understand and customer support knows product unlike others and can truly offer help.,Very easy to understand and pretty much self explanatory.,It doesn't give its self the props deserved for a that you are able to do.
