Name,#Stars,Date Posted,Title,Description,Date of Experience,#Useful
Duke Jacobs,5,2021-08-29,Duke enjoyed everything in his box,Duke enjoyed everything in his box. He was looking for more of the chewy sticks. It’s because he’s a chewer.,2021-08-29,0
Tiffany Williams,5,2021-08-27,We LOVE barkbox!,We LOVE barkbox!! Everyone gets so excited now when a box comes to the house cause every box should be our barkbox lol thank you for making our pups happy,2021-08-27,0
Davina Clayton,5,2021-08-27,My dog loved everything in this box,My dog loved everything in this box. No complaints.,2021-08-27,0
Amara Maxwell,5,2021-08-27,Amara loved all the toys and treats,Amara loved all the toys and treats. The theme was super cute too.,2021-08-27,0
Danielle Teachman,5,2021-08-27,Your dog deserves this!,"This is clearly a company comprised of dog lovers creating a product for dog lovers. Every box is themed and the toys and treats included are just so thoughtful and often hilariously cute that I feel bad letting my pup mercilessly tear through them—until I find one that has en even cuter toy hiding inside! My puppy is obsessed with “unwrapping” his new barkbox toys, and it  keeps him distracted from other destructive habits so I’m all for it! Some of the plush toys do leave a little bit of fuzz around if you have a destroyer like my pup, but it tends to clump up and it’s super easy to pick up in the wake of destruction. We also live with an older dog who loves the toys and treats just as much, but he’s a lot gentler on them. I honestly can’t say enough good things about Barkbox, I’m super impressed with their attention to detail and their love of pets really shows.",2021-08-27,0
Happy ,5,2021-08-27,Everything in the box was of great…,Everything in the box was of great quality! Axle loves the toys and treats! He is a tuff chewer and the toys are perfect for him!,2021-08-27,0
Angela Penny,5,2021-08-27,Received Bark Box and Rosie loved…,Received Bark Box and Rosie loved everything that was sent to her. Treats and toys were perfect. Rosie is looking forward to her next Bark Box !,2021-08-27,0
Jenene Saunders,5,2021-08-27,Excellent box my dog loves it,Excellent box my dog loves it,2021-08-27,0
Angie Black,4,2021-08-27,I love Barkbox my fur babies love it…,I love Barkbox my fur babies love it too but for the price three toys and three snacks would be better.,2021-08-27,0
M Leathers,5,2021-08-27,Dixie Lee loved her first BarkBox.,Dixie Lee loved her first BarkBox.,2021-08-27,0
Kelly Filburn,5,2021-08-27,I loved everything in this box and so…,I loved everything in this box and so did Bella she carries the microphone around with her all the time,2021-08-27,0
KWat,5,2021-08-27,So far so good!,"So far, BarkBox has been great to us.  We received our box quickly, everything inside was packaged wonderfully and even though we had a bit of a hiccup with one of our toys, customer service was sure to make it right and keep Diego happy very quickly.",2021-08-27,0
Amy manning,5,2021-08-27,Excellent toys and treats and even…,"Excellent toys and treats and even better customer service! If you’ve got a dog that is ruffffff on toys, their super chewer box is unbeatable!      - Mom of 4 Pittie Mix Super Chewers!",2021-08-27,0
ServiceDog,5,2021-08-27,AWESOME!,My dog 🐶 knew the box was for him and contained goodies!  He plays with each toy and switches between the two trying to play with both at the same time!  I confiscated the treats and dole them out one at a time. He LOVES the Oinky Rolls.,2021-08-27,0
Nancy Knefel,5,2021-08-27,My new puppy just loves all the new…,"My new puppy just loves all the new stuff! And I love that I don’t have to go shopping for it, it just comes to my door!",2021-08-27,0
Darlene Adams,5,2021-08-27,My puppy Gizmo loves the bark box,My puppy Gizmo loves the bark box,2021-08-27,0
Cheryllynn,5,2021-08-27,My dog loved everything in that first…love love,My dog loved everything in that first box. I cant wait for more and neither can she.,2021-08-27,0
Janet Schultz,5,2021-08-26,Really high quality treats and toys…,Really high quality treats and toys were interesting and well made,2021-08-26,0
Cynthia Ott,5,2021-08-26,Always amazing quality and the treats…,Always amazing quality and the treats are always a bit.,2021-08-26,0
Linda,5,2021-08-26,We love getting the BarkBox,"We love getting the BarkBox! Not only is it fun for all of our dogs, ages 3 to 15 years old, but for us too because of how happy it makes them. The 5 year old, Biscuit, thinks all boxes delivered are a BarkBox ☺️",2021-08-26,0
April Jarvis,5,2021-08-26,My old pups love the toys and treats !,My old pups love the toys and treats !! Only complaint is the hard toy we got in our box they do not like it haven't played with it.. 🐶 🐶,2021-08-26,0
Ashlynn Reader,5,2021-08-26,The toys were cute and our pup loves…,The toys were cute and our pup loves them. The treats were awesome and we have a picky pup,2021-08-26,0
Deb T,5,2021-08-26,Great box of toys and treats,Great box of toys and treats! I have as much fun seeing the theme as my dog does getting her treats!,2021-08-26,0
Madison Lopez,5,2021-08-26,BarkBox Only!,"I absolutely have loved BarkBox! Their toys are such great quality and super cute and fun. My pup pretty much only gets Bark toys whether it is from the Box or Target his toy bin is full! Their customer service is also amazing, any time we are even slightly not thrilled about something they go above and beyond to make sure we leave happy. I wouldn’t trust anyone else to provide for my pup when it comes to treats and toys.",2021-08-26,0
Joe,5,2021-08-26,My Dog absolutely loves BarkBox!!!,"My Dog absolutely loves BarkBox and so do we!  When the monthly box arrives it feels a bit like Christmas.  My old girl knows she’s in for a treat and gets excited as soon as I bring the box inside.

I can’t recommend Barkbox enough — what a great company and wonderful products!",2021-08-26,0
Sara K,5,2021-08-26,Highly recommend,"The quality of the toys and treats were top notch.  The toys have lasted almost a week so far, which is unheard of with my destructo dogs.  I have high hopes that will continue.",2021-08-26,0
Sharon Vaughn,5,2021-08-26,Bark Box Excellent,Excellent quality products! Shipping as scheduled monthly. Price for box is fabulous!,2021-08-26,0
Nikki Gillis,5,2021-08-26,Thank you so much for helping me out…,Thank you so much for helping me out with anything. You guys do a amazing job!,2021-08-26,0
Ellie Dedo,5,2021-08-26,Ellie loved her first barkbox,Ellie loved her first barkbox. The toys have held up to some vigorous chewing and the treats were a hit. She will be so excited when the mailman brings her next box.,2021-08-26,0
Charlotte Rodden,5,2021-08-26,Our first box for Mia our new puppy,Our puppy loved looking into her box and has many hours playing with her new toys. Chew as a puppy does the one toy did not last the week. She loves the treats and being treat motivated is doing well training ! I love the idea of receiving this box every month ! Thank you,2021-08-26,0
Nicole ,5,2021-08-26,The customer service is prompt and…,The customer service is prompt and courteous. The toys hold up to their name and are definitely a favorite in our house.,2021-08-26,0
Sheila Jupina,5,2021-08-26,Russell loved his box and treats,"Russell loved his box and treats. He got the Breakfast box with the Egg, mango, bacon nylabone and cinnamon roll toys. He loves the Nylabone . The treats are exceptional. He loves squeaky toys and toys with noise.",2021-08-26,0
Tonya Harrison,5,2021-08-26,cute stuff and apparently great treats,my dog won't touch his old treats now haha. he only wants the ones out of his bark box.,2021-08-26,0
Bubbles Sweeney,5,2021-08-25,Bubbles loved her box and everything in…,Bubbles loved her box and everything in it !! Thank you 😊,2021-08-25,0
Melanie Aubin,5,2021-08-25,Received my first Bark Box this month,"Received my first Bark Box this month.  It was great!  We were excited, as was our Stella!  It was full of great toys and treats, specially selected for a pup the size of ours.  Can't wait to get a new bark box every month.",2021-08-25,0
MICHAEL ESQUIBEL,5,2021-08-25,They go above and beyond,They go above and beyond. You can tell they truly care about you and your fur babies.,2021-08-25,0
Lisa ,5,2021-08-25,Love everything,Signing up for Bark Box and Super Chewer was the best decision. Even the toys in the regular Bark Box are now favorites of my super chewer puppy. He actually likes to play with them & squeak them rather than rip them apart. I love that the squeakers are almost full length of each toy & have several different sounds. My puppy also likes that the toys crinkle AND squeak.,2021-08-25,0
KAY Johnson,5,2021-08-25,My Babies Loved their barkbox,My Babies Loved their barkbox. PEANUT hoped for more SQUEAKY TOYS and RAIZEN hoped for more TREATS!!! They had FUN getting into their BarkBox!!!,2021-08-25,0
Ann,5,2021-08-25,My Rottweiler Loved the Super Chewer BarkBox,"I was skeptical whether my super-chewer puppy would enjoy a few of the toy selections. But as soon as they hit the floor, she was all over them. They've also held up extremely well during the course of the weeks she's used them to happily chew on. The treats went over well with all of my dogs. Fortunately, the chew sticks were soft enough that I could cut them into bite-size pieces. My girl just tries to swallow them whole. We're looking forward to our second box!",2021-08-25,0
customer,5,2021-08-25,I had a question about a product…,I had a question about a product included in my subscription. I had a reply with a graphic in less than five minutes. Super impressed,2021-08-25,0
Bekkah,5,2021-08-25,Quality,Everything we received seemed to be of great quality and was absolutely adorable. My dog really enjoyed all of it. He loves the treats and they seem to be made from quality ingredients. Thanks bark box! From me and from my dachshund Amos.,2021-08-25,0
